pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,796.2576611285556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,802.0776645246503
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,802.6381026420562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,799.1770123274011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,794.457030722622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,793.4985506115657
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,794.2734022364809
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,796.2576611285556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,802.0776645246503
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,802.6381026420562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,799.1770123274011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,794.457030722622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,793.4985506115657
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,794.2734022364809
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,796.2576611285556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,802.0776645246503
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,802.6381026420562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,799.1770123274011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,794.457030722622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,793.4985506115657
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,794.2734022364809
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,796.2576611285556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,802.0776645246503
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,802.6381026420562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,799.1770123274011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,794.457030722622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,793.4985506115657
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,794.2734022364809
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,796.2576611285556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,802.0776645246503
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,802.638026281652
